Robot,IP,Status,Version,OS Major,OS Minor,OS Description,Port,Domain
gbucsm0002dc,10.128.152.129,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2019 Standard, 6",Service Pack 0 Build 17763,48000,Givaudan
gcncsl0011qip,10.192.96.222,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-957.1.3.el7.x86_64 #1 SMP Thu Nov 15 17:36:42 UTC 2018 x86_64,48000,Givaudan
gcncsm0001dc,10.97.32.11,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2008 R2 Standard Edition, 64-bit",Service Pack 1 Build 7601,48000,Givaudan
gcncsm0003dc,10.192.96.9,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2019 Standard, 6",Service Pack 0 Build 17763,48000,Givaudan
gjhcsm0002dc,10.64.211.70,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2019 Standard, 6",Service Pack 0 Build 17763,48000,Givaudan
gkecsl0012qip,10.192.104.222,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-957.1.3.el7.x86_64 #1 SMP Thu Nov 15 17:36:42 UTC 2018 x86_64,48000,Givaudan
gkecsm0001dc,10.192.104.9,OK,"9.35 [Build 9.35.240, May 10 2022]",Windows,"Windows Server 2019 Standard, 64-bit",Service Pack 0 Build 17763,48000,Givaudan
gklcsl0012qip,10.192.72.222,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-957.1.3.el7.x86_64 #1 SMP Thu Nov 15 17:36:42 UTC 2018 x86_64,48000,Givaudan
gklcsm0001dc,10.192.72.9,OK,"9.35 [Build 9.35.240, May 10 2022]",Windows,"Windows Server 2019 Standard, 64-bit",Service Pack 0 Build 17763,48000,Givaudan
gmacsm0710ap,10.240.64.1,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2016 Standard, 6",Service Pack 0 Build 14393,48000,Givaudan
gmacsm2710at,10.240.64.2,OK,"9.35 [Build 9.35.240, May 10 2022]",Windows,"Windows Server 2016 Standard, 64-bit",Service Pack 0 Build 14393,48000,Givaudan
gmicsm0001dc,10.96.67.31,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2008 R2 Standard Edition, 64-bit",Service Pack 1 Build 7601,48000,Givaudan
gsfcsm0001dc,10.34.70.140,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2019 Standard, 6",Service Pack 0 Build 17763,48000,Givaudan
gshcsm0002dc,10.34.86.140,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2019 Standard, 6",Service Pack 0 Build 17763,48000,Givaudan
gsocsm0002dc,10.128.42.9,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2019 Standard, 6",Service Pack 0 Build 17763,48000,Givaudan
gsrcsl0011qip,10.192.32.222,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-957.1.3.el7.x86_64 #1 SMP Thu Nov 15 17:36:42 UTC 2018 x86_64,48000,Givaudan
gsrcsm0001dc,127.0.0.1,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2008 R2 Standard Edition, 64-bit",Service Pack 1 Build 7601,48000,Givaudan
gsrcsm0002dc,10.192.32.9,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2019 Standard, 6",Service Pack 0 Build 17763,48000,Givaudan
gsscsl0012qip,10.192.40.222,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-957.1.3.el7.x86_64 #1 SMP Thu Nov 15 17:36:42 UTC 2018 x86_64,48000,Givaudan
gsscsm0001dc,10.192.40.9,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",Windows,"Windows Server 2019 Standard, 6",Service Pack 0 Build 17763,48000,Givaudan
gveccl7710apa,10.70.70.147,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 2.6.32-754.48.1.el6.x86_64 #1 SMP Tue Jul 5 16:40:13 EDT 2022 x86_64,48000,Givaudan
gveccl7711apb,10.70.70.148,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 2.6.32-754.48.1.el6.x86_64 #1 SMP Tue Jul 5 16:40:13 EDT 2022 x86_64,48000,Givaudan
gveccl7720apa,10.195.20.8,OK,"9.37 [Build 9.37.528, Feb  1 2023]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gveccl7721apb,10.195.20.7,OK,"9.37 [Build 9.37.528, Feb  1 2023]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gveccx0150dpa,10.65.83.41,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 1 6 00FBCFA74C00,48000,Givaudan
gveccx0151dpb,10.65.83.52,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 1 6 00FBCFA64C00,48000,Givaudan
gveccx0180dpa,10.65.85.147,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,AIX,AIX 2 7 00FBCFA74C00,48000,Givaudan
gveccx0181dpb,10.65.85.150,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,AIX,AIX 2 7 00FBCFA64C00,48000,Givaudan
gveccx0184dpa,10.65.83.117,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA74C00,48000,Givaudan
gveccx0185dpb,10.65.83.122,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA64C00,48000,Givaudan
gveccx2150dta,10.65.83.54,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 1 6 00FBCFA74C00,48000,Givaudan
gveccx2151dtb,10.65.83.58,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 1 6 00FBCFA64C00,48000,Givaudan
gveccx2180dta,10.65.85.159,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA74C00,48000,Givaudan
gveccx2181dtb,10.65.85.162,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA64C00,48000,Givaudan
gveccx6656itn,10.71.152.75,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,AIX,AIX 2 7 00FBCFA74C00,48000,Givaudan
gveccx6680dda,10.71.6.1,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA74C00,48000,Givaudan
gveccx6681ddb,10.71.6.5,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA64C00,48000,Givaudan
gveccx9350spa,10.65.85.205,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,AIX,AIX 2 7 00FBCFA74C00,48000,Givaudan
gveccx9351spb,10.65.85.179,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,AIX,AIX 2 7 00FBCFA64C00,48000,Givaudan
gveccx9352sba,10.65.85.212,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA74C00,48000,Givaudan
gveccx9353sbb,10.65.85.213,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA64C00,48000,Givaudan
gveccx9750spa,10.65.85.97,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA74C00,48000,Givaudan
gveccx9751spb,10.65.85.116,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA64C00,48000,Givaudan
gveccx9752sba,10.65.85.121,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA74C00,48000,Givaudan
gveccx9753sbb,10.65.85.122,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA64C00,48000,Givaudan
gveccx9850spa,10.65.85.209,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA74C00,48000,Givaudan
gveccx9851spb,10.65.85.183,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA64C00,48000,Givaudan
gveccx9852sba,10.65.85.217,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA74C00,48000,Givaudan
gveccx9853sbb,10.65.85.218,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,AIX,AIX 2 7 00FBCFA64C00,48000,Givaudan
gvecsl0011qip,10.192.64.222,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-957.1.3.el7.x86_64 #1 SMP Thu Nov 15 17:36:42 UTC 2018 x86_64,48000,Givaudan
